,Fecha,dolar_blue,dolar_blue_pronostico,dolar_oficial,dolar_oficial_pronostico
107,2025-02-28,1230.0,1229.9999999999993,1084.25,1084.2499999999995
108,2025-03-31,1325.0,1324.9999999999993,1093.5,1093.4999999999995
109,2025-04-30,1185.0,1184.9999999999993,1190.0,1189.9999999999998
110,2025-05-31,1180.0,1179.9999999999995,1195.0,1194.9999999999995
111,2025-06-30,1215.0,1214.9999999999993,1215.0,1214.9999999999998
112,2025-07-31,1335.0,1334.9999999999993,1380.0,1379.9999999999998
113,2025-08-31,1320.0,1319.9999999999993,1360.0,1359.9999999999998
114,2025-09-30,1445.0,1444.9999999999993,1400.0,1399.9999999999998
115,2025-10-31,1445.0,1444.9999999999993,1475.0,1474.9999999999998
116,2025-11-30,,1682.2778489154102,,1637.620496599633
117,2025-12-31,,1788.440889515433,,1677.5696007582874
118,2026-01-31,,1842.9099736357343,,1662.9919743025566
119,2026-02-28,,1891.5414681147788,,1682.955104950387
120,2026-03-31,,1975.382160046509,,1745.2162868060316
